id,value
profession.Architecture and Engineering Occupations.Petroleum Engineers,1.4.21
"profession.Architecture and Engineering Occupations.Engineers, All Other",1.4.22
profession.Architecture and Engineering Occupations.Architectural and Civil Drafters,1.4.23
profession.Architecture and Engineering Occupations.Electrical and Electronics Drafters,1.4.24
profession.Architecture and Engineering Occupations.Mechanical Drafters,1.4.25
"profession.Architecture and Engineering Occupations.Drafters, All Other",1.4.26
profession.Architecture and Engineering Occupations.Aerospace Engineering and Operations Technologists and Technicians,1.4.27
profession.Architecture and Engineering Occupations.Civil Engineering Technologists and Technicians,1.4.28
profession.Architecture and Engineering Occupations.Electrical and Electronic Engineering Technologists and Technicians,1.4.29
profession.Architecture and Engineering Occupations.ElectroMechanical and Mechatronics Technologists and Technicians,1.4.30
profession.Architecture and Engineering Occupations.Environmental Engineering Technologists and Technicians,1.4.31
profession.Architecture and Engineering Occupations.Industrial Engineering Technologists and Technicians,1.4.32
profession.Architecture and Engineering Occupations.Mechanical Engineering Technologists and Technicians,1.4.33
profession.Architecture and Engineering Occupations.Calibration Technologists and Technicians,1.4.34
"profession.Architecture and Engineering Occupations.Engineering Technologists and Technicians, Except Drafters, All Other",1.4.35
profession.Architecture and Engineering Occupations.Surveying and Mapping Technicians,1.4.36
"profession.Life, Physical, and Social Science Occupations",1.5
"profession.Life, Physical, and Social Science Occupations.Animal Scientists",1.5.1
"profession.Life, Physical, and Social Science Occupations.Food Scientists and Technologists",1.5.2
"profession.Life, Physical, and Social Science Occupations.Soil and Plant Scientists",1.5.3
"profession.Life, Physical, and Social Science Occupations.Biochemists and Biophysicists",1.5.4
"profession.Life, Physical, and Social Science Occupations.Microbiologists",1.5.5
"profession.Life, Physical, and Social Science Occupations.Zoologists and Wildlife Biologists",1.5.6
"profession.Life, Physical, and Social Science Occupations.Biological Scientists, All Other",1.5.7
"profession.Life, Physical, and Social Science Occupations.Conservation Scientists",1.5.8
"profession.Life, Physical, and Social Science Occupations.Foresters",1.5.9
"profession.Life, Physical, and Social Science Occupations.Epidemiologists",1.5.10
"profession.Life, Physical, and Social Science Occupations.Medical Scientists, Except Epidemiologists",1.5.11
"profession.Life, Physical, and Social Science Occupations.Life Scientists, All Other",1.5.12
"profession.Life, Physical, and Social Science Occupations.Astronomers",1.5.13
"profession.Life, Physical, and Social Science Occupations.Physicists",1.5.14
"profession.Life, Physical, and Social Science Occupations.Atmospheric and Space Scientists",1.5.15
"profession.Life, Physical, and Social Science Occupations.Chemists",1.5.16
"profession.Life, Physical, and Social Science Occupations.Materials Scientists",1.5.17
"profession.Life, Physical, and Social Science Occupations.Environmental Scientists and Specialists, Including Health",1.5.18
"profession.Life, Physical, and Social Science Occupations.Geoscientists, Except Hydrologists and Geographers",1.5.19
"profession.Life, Physical, and Social Science Occupations.Hydrologists",1.5.20
